player,angle,length,angle_degrees
Modrić,-0.13815175,18.879883,352.08448779265353
Modrić,-1.735945,20.681393,260.5376780331623
Modrić,1.7033478,24.212393,97.59463998289384
Modrić,0.22290023,7.6902537,12.771242431495338
Modrić,-0.28950366,9.80816,343.41266212840964
Modrić,-1.9603441,30.808115,247.6805566766282
Modrić,0.9215371,20.840345,52.800186494725295
Modrić,-1.6006383,6.7029843,268.29018088300506
Modrić,-1.841547,27.294321,254.4871291250218
Modrić,0.58307654,22.521101,33.407824875090924
Modrić,-2.6779451,7.3790245,206.5650480022608
Modrić,0.752623,8.631338,43.12212146447456
Modrić,-3.068993,16.54358,184.15965374480695
Modrić,-1.4527043,11.882761,276.7661747294934
Modrić,-1.4734308,21.602314,275.57863375541547
Modrić,1.1912589,38.327538,68.25410727739698
Modrić,-2.9509537,5.80517,190.92280745148554
Modrić,-0.32409248,13.502963,341.43086872407196
Modrić,0.107827574,19.513329,6.178064905334568
Modrić,-1.6494718,24.17478,265.492227434153
Modrić,-3.1149323,7.502666,181.5275257410216
Pedri,2.9489894,24.554022,168.96464644881692
Pedri,-0.018346565,10.9018345,358.94881925693755
Pedri,1.3654009,12.25765,78.23170891336417
Kimmich,-2.5545812,27.984638,213.63327881653476
Pedri,-2.4042344,14.724809,222.24751591983224
Pedri,1.4488242,46.848053,83.01151191641789
Pedri,1.1008857,21.421951,63.0761043363053
